id,gene,gene_id,description
gene0,thrL,gene:BAE76026,thr operon leader peptide
gene1,thrA,gene:BAB96579,fused aspartokinase I and homoserine dehydrogenase I
gene2,thrB,gene:BAB96580,homoserine kinase
gene3,thrC,gene:BAB96581,threonine synthase
gene4,yaaX,gene:BAB96582,hypothetical protein
gene5,yaaA,gene:BAB96584,conserved hypothetical protein
gene6,yaaJ,gene:BAB96585,predicted transporter
gene7,talB,gene:BAB96586,transaldolase B
gene8,mog,gene:BAB96587,predicted molybdochelatase
gene9,yaaH,gene:BAB96588,conserved inner membrane protein associated with acetate transport
gene10,yaaW,gene:BAE76027,conserved hypothetical protein
gene11,htgA,gene:BAE76028,hypothetical protein
gene12,yaaI,gene:BAE76029,hypothetical protein
gene13,dnaK,gene:BAB96589,chaperone Hsp70%2C co-chaperone with DnaJ
gene14,dnaJ,gene:BAB96590,chaperone Hsp40%2C co-chaperone with DnaK
gene15,insL,gene:BAE76030,IS186/IS421 transposase
gene16,mokC,gene:BAB96591,regulatory protein for HokC%2C overlaps CDS of hokC
gene17,hokC,gene:BAE76031,toxic membrane protein%2C small
gene18,sokC,,
gene19,nhaA,gene:BAB96592,sodium-proton antiporter
gene20,nhaR,gene:BAE76032,DNA-binding transcriptional activator
gene21,insB,gene:BAE76033,IS1 transposase InsAB'
gene22,insA,gene:BAE76034,IS1 repressor protein InsA
gene23,rpsT,gene:BAB96593,30S ribosomal subunit protein S20
gene24,yaaY,gene:BAE76035,hypothetical protein
gene25,ribF,gene:BAB96594,bifunctional riboflavin kinase and FAD synthetase
gene26,ileS,gene:BAB96595,isoleucyl-tRNA synthetase
gene27,lspA,gene:BAB96596,prolipoprotein signal peptidase
gene28,fkpB,gene:BAB96597,FKBP-type peptidyl-prolyl cis-trans isomerase
gene29,ispH,gene:BAB96598,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase%2C 4Fe-4S protein
gene30,rihC,gene:BAB96599,ribonucleoside hydrolase 3
gene31,dapB,gene:BAB96600,dihydrodipicolinate reductase
gene32,carA,gene:BAB96601,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase
gene33,carB,gene:BAB96602,carbamoyl-phosphate synthase large subunit
gene34,caiF,gene:BAE76036,DNA-binding transcriptional activator
gene35,caiE,gene:BAB96604,predicted acyl transferase
gene36,caiD,gene:BAB96605,crotonobetainyl CoA hydratase
gene37,caiC,gene:BAB96606,predicted crotonobetaine CoA ligase:carnitine CoA ligase
gene38,caiB,gene:BAB96607,crotonobetainyl CoA:carnitine CoA transferase
gene39,caiA,gene:BAB96608,crotonobetaine reductase subunit II%2C FAD-binding
gene40,caiT,gene:BAB96609,predicted transporter
gene41,fixA,gene:BAB96610,predicted electron transfer flavoprotein subunit%2C ETFP adenine nucleotide-binding domain
gene42,fixB,gene:BAE76037,predicted electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like
gene43,fixC,gene:BAB96611,predicted oxidoreductase%2C FAD/NAD(P)-binding domain
gene44,fixX,gene:BAB96612,predicted 4Fe-4S ferredoxin-type protein
gene45,yaaU,gene:BAB96613,predicted transporter
gene46,kefF,gene:BAB96614,flavoprotein subunit for the KefC potassium efflux system
gene47,kefC,gene:BAB96615,potassium:proton antiporter
gene48,folA,gene:BAB96616,dihydrofolate reductase
gene49,apaH,gene:BAB96617,diadenosine tetraphosphatase
gene50,apaG,gene:BAB96618,protein associated with Co2+ and Mg2+ efflux
gene51,ksgA,gene:BAE76038,S-adenosylmethionine-6-N'%2CN'-adenosyl (rRNA) dimethyltransferase
gene52,pdxA,gene:BAB96619,4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent
gene53,surA,gene:BAB96620,peptidyl-prolyl cis-trans isomerase
gene54,imp,gene:BAB96622,exported protein required for envelope biosynthesis and integrity
gene55,djlA,gene:BAB96623,DnaJ-like protein%2C membrane anchored
gene56,yabP,gene:BAB96624,hypothetical protein
gene57,yabQ,gene:BAB96625,hypothetical protein
gene58,rluA,gene:BAE76039,pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)
gene59,hepA,gene:BAB96627,RNA polymerase-associated helicase protein
gene60,polB,gene:BAB96628,DNA polymerase II
gene61,araD,gene:BAB96630,L-ribulose-5-phosphate 4-epimerase
gene62,araA,gene:BAB96631,L-arabinose isomerase
gene63,araB,gene:BAB96632,L-ribulokinase
gene64,araC,gene:BAB96633,DNA-binding transcriptional dual regulator
gene65,yabI,gene:BAB96634,conserved inner membrane protein
gene66,thiQ,gene:BAB96635,thiamin transporter subunit
gene67,thiP,gene:BAB96636,fused subunits of thiamin transporter and membrane components of ABC superfamily
gene68,tbpA,gene:BAB96637,thiamin transporter subunit
gene69,sgrR,gene:BAB96638,DNA-binding transcriptional regulator
gene70,sgrS,,
gene71,setA,gene:BAB96639,broad specificity sugar efflux system
gene72,leuD,gene:BAB96640,3-isopropylmalate isomerase subunit
gene73,leuC,gene:BAB96641,3-isopropylmalate isomerase subunit%2C dehydratase component
gene74,leuB,gene:BAB96642,3-isopropylmalate dehydrogenase
gene75,leuA,gene:BAB96643,2-isopropylmalate synthase
gene76,leuL,gene:BAB96644,leu operon leader peptide
gene77,leuO,gene:BAB96645,DNA-binding transcriptional activator
gene78,ilvI,gene:BAB96646,acetolactate synthase III%2C large subunit
gene79,ilvH,gene:BAB96647,acetolactate synthase III%2C thiamin-dependent%2C small subunit
gene80,fruR,gene:BAB96648,DNA-binding transcriptional dual regulator
gene81,mraZ,gene:BAB96649,conserved hypothetical protein
gene82,mraW,gene:BAB96650,S-adenosyl-dependent methyltransferase activity on membrane-located substrates
gene83,ftsL,gene:BAB96651,membrane bound cell division protein at septum containing leucine zipper motif
gene84,ftsI,gene:BAB96652,transpeptidase involved in septal peptidoglycan synthesis
gene85,murE,gene:BAB96653,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase
gene86,murF,gene:BAB96654,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
gene87,mraY,gene:BAB96655,phospho-N-acetylmuramoyl-pentapeptide transferase
gene88,murD,gene:BAB96656,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
gene89,ftsW,gene:BAB96657,integral membrane protein involved in stabilising FstZ ring during cell division
gene90,murG,gene:BAB96658,N-acetylglucosaminyl transferase
gene91,murC,gene:BAB96659,UDP-N-acetylmuramate:L-alanine ligase
gene92,ddlB,gene:BAB96660,D-Alanine:D-alanine ligase
gene93,ftsQ,gene:BAB96661,membrane anchored protein involved in growth of wall at septum
gene94,ftsA,gene:BAB96662,ATP-binding cell division protein involved in recruitment of FtsK to Z ring
gene95,ftsZ,gene:BAB96663,GTP-binding tubulin-like cell division protein
gene96,lpxC,gene:BAB96664,UDP-3-O-acyl N-acetylglucosamine deacetylase
gene97,secM,gene:BAB96665,regulator of secA translation
gene98,secA,gene:BAB96666,preprotein translocase subunit%2C ATPase that targets protein precursors to the SecYE core translocon
gene99,mutT,gene:BAB96667,nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP
gene100,yacG,gene:BAB96668,conserved hypothetical protein
gene101,yacF,gene:BAB96671,conserved hypothetical protein
gene102,coaE,gene:BAE76040,dephospho-CoA kinase
gene103,guaC,gene:BAB96673,GMP reductase
